AccountNoOrig	Networth	Name of Account Holder	Bank Identification Number	AML Risk Rating	Country of Domicile	Beneficiary Details	Type of Account	PEP	Sanctions
C2136614370	0	Linda	M1212C2136614370	High	US	M1430094474	Savings	N	N
C99759097	0	Elizabeth	M1212C99759097	Medium	US	M1013106719	Savings	N	N
C508661949	0	Thomas	M1212C508661949	High	US	M1932740085	Current	N	N
C1524462464	0	Sarah	M1212C1524462464	Low	US	M241403219	Savings	N	N
C472201306	0	Charles	M1212C472201306	Medium	US	M1976617670	Current	N	N
C1393284987	12207	Lisa	M1212C1393284987	Low 	US	M1487529549	Savings	N	N
C1132068394	1404	Ashley	M1212C1132068394	Low	US	M235873926	Savings	N	N
C774320733	171	Steven	M1212C774320733	Medium	US	M1888859784	Current	N	N
C1103641328	0	Kenneth	M1212C1103641328	Medium	US	M1205094026	Current	N	N
C1617265545	0	Carol	M1212C1617265545	High	US	M1053392896	Savings	N	N
C163190398	0	Timothy	M1212C163190398	Low	US	M394737730	Current	N	N
C343592684	0	Deborah	M1212C343592684	Medium	US	M1753450343	Savings	N	N
C2120120147	0	Sharon	M1212C2120120147	Low 	US	M291996777	Savings	N	N
C961615276	0	Jeffrey	M1212C961615276	Low	US	M918664959	Current	N	N
C64605090	72066.06	Scott	M1212C64605090	Low	US	C1983747920	Current	N	N
C760646911	29144	Aaron	M1212C760646911	Low	US	M1342423316	Current	N	N
C231989731	256386	Amit	M1212C231989731	Low	India	M646359041	Current	N	N
C1525789217	20569	Mary	M1212C1525789217	Medium	US	M1085888709	Savings	N	N
C2102001207	211771	Robert	M1212C2102001207	Low	US	M1957398032	Current	N	N
C1345962703	0	Barbara	M1212C1345962703	Low	US	M895175732	Savings	N	N
C326265195	0	Susan	M1212C326265195	High	US	M2091367901	Savings	N	N
C544100739	0	Joseph	M1212C544100739	Low	US	M844248821	Current	N	N
C1050165504	0	Charles	M1212C1050165504	Medium	US	M333890884	Current	N	N
C581031803	0	Dorothy	M1212C581031803	Low	US	C1746150957	Savings	N	N
C39864640	6584.43	Melissa	M1212C39864640	High	US	C1013700132	Savings	N	N
C728756246	17688.6	Edward	M1212C728756246	Medium	US	C7313260	Current	N	N
C1464079293	52030	Anna	M1212C1464079293	Medium	US	C1096283470	Savings	N	N
C955505599	0	Larry	M1212C955505599	Low 	US	C1297685781	Current	N	N
C2108273452	10489	Helen	M1212C2108273452	Low	US	C296121376	Savings	N	N
C978799163	281529.37	Alexander	M1212C978799163	Medium	US	M1933458457	Current	N	N
C815903405	0	Rachel	M1212C815903405	Low 	US	M1131228089	Savings	N	N
C1241184277	155.64	Catherine	M1212C1241184277	Low 	US	M805744373	Savings	N	N
C371556236	0	Dennis	M1212C371556236	Low	US	M1645577752	Current	N	N
C1656369221	0	Tyler	M1212C1656369221	Medium	US	M964416619	Current	N	N
C189565366	0	Jose	M1212C189565366	Low	US	M1425418950	Current	N	N
C925150096	0	Olivia	M1212C925150096	Low	US	M1089411380	Savings	N	N
C506972944	19808	John	M1212C506972944	Low 	US	M23436669	Current	N	N
C88328327	863	Thomas	M1212C88328327	High	US	M1978943199	Current	N	N
C1942085027	21202	Lisa	M1212C1942085027	Low 	US	M205284289	Savings	N	N
C1863515296	0	Nancy	M1212C1863515296	Medium	US	C991505714	Savings	N	N
C1933826115	743272	Emily	M1212C1933826115	Medium	US	M698473139	Savings	N	N
C1637577782	29802	Andrew	M1212C1637577782	Low	US	M1794130044	Current	N	N
C449822808	242	Joshua	M1212C449822808	Low 	US	M1918144733	Current	N	N
C365589282	10224	Michelle	M1212C365589282	Low	US	C908043384	Savings	N	N
C1910204163	462936	Dorothy	M1212C1910204163	Low	US	M1191890972	Savings	N	N
C1647799261	0	Jacob	M1212C1647799261	Medium	US	C1899073220	Current	N	N
C899111685	73252	Nicholas	M1212C899111685	High	US	M1196288844	Current	N	N
C1673947520	264732	Jonathan	M1212C1673947520	Low	US	M147646893	Current	N	N
C1533987146	110	Katherine	M1212C1533987146	Medium	US	M1685344880	Savings	N	N
C1961718033	824650.57	Amit	M1212C1961718033	Low	US	C1632716597	Current	N	N
C1953044087	1199029.14	Mahesh	M1212C1953044087	Medium	US	C18996450	Savings	N	N
C448600616	2154949.66	Karthik	M1212C448600616	Low	India	C985934102	Savings	N	N
C1726361113	3172292.99	John	M1212C1726361113	Low 	US	C1281580764	Current	N	N
C1295359081	3983120.08	Barbara	M1212C1295359081	Low	US	C598551831	Savings	N	N
C1448095927	5871577.23	Nancy	M1212C1448095927	Medium	US	C769342184	Savings	N	N
C1937060646	6460692.05	Anthony	M1212C1937060646	Medium	US	C1254526270	Current	N	N
C1111320106	6856681.68	Donald	M1212C1111320106	High	US	C1321128627	Current	N	N
C1286968216	7627525.64	Emily	M1212C1286968216	Medium	US	C409821235	Savings	N	N
C1123939422	8087234.12	Michelle	M1212C1123939422	Low	US	C1329589315	Savings	N	N
C1350561011	31318	Rebecca	M1212C1350561011	Low	US	M1058885327	Savings	N	N
C878375543	0	Jeffrey	M1212C878375543	Low	US	M157567214	Current	N	N
C1530669727	64738.71	Pamela	M1212C1530669727	Low	US	M1398492607	Savings	N	N
C1221676704	10506	Scott	M1212C1221676704	Low	US	M556080707	Current	N	N
C1809367960	13713	Benjamin	M1212C1809367960	Medium	US	M882371818	Current	N	N
C1912973495	48167	Jack	M1212C1912973495	Medium	US	M518072030	Current	N	N
C1982708114	23316	Julie	M1212C1982708114	Medium	US	C863811613	Savings	N	N
C216577438	0	Barbara	M1212C216577438	Low	US	C1335946878	Savings	N	N
C1443641176	14903	Lisa	M1212C1443641176	Low 	US	M1128352648	Savings	N	N
C1386612163	23639	Daniel	M1212C1386612163	Low	US	M335204551	Current	N	N
C845635028	57116	Betty	M1212C845635028	Low	US	M592520538	Savings	N	N
C575568549	11246	Margaret	M1212C575568549	Low 	US	M144699459	Savings	N	N
C1171120083	1851234.61	Emily	M1212C1171120083	Medium	US	C803116137	Savings	N	N
C819132906	2286149.09	Joshua	M1212C819132906	Low 	US	C1870367457	Current	N	N
C466262884	2309453.07	Michelle	M1212C466262884	Low	US	C237988421	Savings	N	N
C1351269492	2494724.15	Carol	M1212C1351269492	High	US	C1674899618	Savings	N	N
C946775567	2862422.61	Amanda	M1212C946775567	Medium	US	C1852606548	Savings	N	N
C1085700275	4421142.64	Sharon	M1212C1085700275	Low 	US	C728885526	Savings	N	N
C2041127543	6427963.61	Kathleen	M1212C2041127543	Low 	US	C1423992712	Savings	N	N
C1159675750	4632	Benjamin	M1212C1159675750	Medium	US	M1562292756	Current	N	N
C1605357721	0	Gregory	M1212C1605357721	High	US	C1674899618	Current	N	N
C1633844381	10298	Catherine	M1212C1633844381	Low 	US	M1405230085	Savings	N	N
C187903706	123703	Julie	M1212C187903706	Medium	US	C176203926	Savings	N	N
C384030416	44210.16	Joyce	M1212C384030416	High	US	C1850180796	Savings	N	N
C598588779	0	Saurav	M1212C598588779	Low 	India	C1794607688	Current	N	N
C298893301	15839	Karthik	M1212C298893301	Low	India	M1277160809	Savings	N	N
C224950719	398410	John	M1212C224950719	Low 	US	M356649202	Current	N	N
C831160736	27194	Jennifer	M1212C831160736	Low	US	M259237839	Savings	N	N
C1735520170	15475	Karen	M1212C1735520170	Low	US	C1121686878	Savings	N	N
C1142006014	0	Lisa	M1212C1142006014	Low 	US	M745868137	Savings	N	N
C362417934	19860	Daniel	M1212C362417934	Low	US	C794358930	Current	N	N
C975069095	4962.67	Kathleen	M1212C975069095	Low 	US	M2020015678	Savings	N	N
C1522288781	0	Eric	M1212C1522288781	Medium	US	M819545304	Current	N	N
C34782860	2449221.61	Alexander	M1212C34782860	Medium	US	C932583850	Current	N	N
C1071783182	2844590.06	Debra	M1212C1071783182	Low	US	C1067155425	Savings	N	N
C2021357462	2879605.35	Frank	M1212C2021357462	Medium	US	C1875310223	Current	N	N
C669668653	0	Jose	M1212C669668653	Low	US	M2052572633	Current	N	N
C1590977463	0	Adam	M1212C1590977463	Low 	US	M451480761	Current	N	N
C1270490884	0	Jennifer	M1212C1270490884	Low	US	M1532977612	Savings	N	N
C1476625795	12624	Joseph	M1212C1476625795	Low	US	M105451526	Current	N	N
C962339310	44459	Christopher	M1212C962339310	Medium	US	C1615804266	Current	N	N
C1721660173	11318	Daniel	M1212C1721660173	Low	US	C267527788	Current	N	N
C428035767	0	Kenneth	M1212C428035767	Medium	US	M641078642	Current	N	N
C1169929192	20170	Ronald	M1212C1169929192	High	US	M2036240117	Current	N	N
C770854681	214946.78	Rebecca	M1212C770854681	Low	US	C803116137	Savings	N	N
C692760632	30107	Jeffrey	M1212C692760632	Low	US	M962248325	Current	N	N
C1327145660	31447	Gary	M1212C1327145660	Low	US	M333825340	Current	N	N
C1092992060	1853	Larry	M1212C1092992060	Low 	US	M682914321	Current	N	N
C1921324291	11300	Alexander	M1212C1921324291	Medium	US	M1762409247	Current	N	N
C1037000742	0	Raymond	M1212C1037000742	High	US	C667346055	Current	N	N
C932380376	29738	Tyler	M1212C932380376	Medium	US	C1198167820	Current	N	N
C563069965	0	Saurav	M1212C563069965	Low 	India	C183354406	Current	N	N
C1278326466	457235.5	Patricia	M1212C1278326466	Medium	US	C403147759	Savings	N	N
C539710099	1447646.63	Elizabeth	M1212C539710099	Medium	US	C421163163	Savings	N	N
C379666550	2424948.15	Sarah	M1212C379666550	Low	US	C1730752455	Savings	N	N
C1966896145	195660	Margaret	M1212C1966896145	Low 	US	M1000347057	Savings	N	N
C238381376	98643	Steven	M1212C238381376	Medium	US	M949557121	Current	N	N
C1012364136	21880	Kimberly	M1212C1012364136	High	US	M1472719920	Savings	N	N
C84093742	91629.46	Emily	M1212C84093742	Medium	US	M1833824722	Savings	N	N
C1545634845	3850	George	M1212C1545634845	Medium	US	M438163691	Current	N	N
C484124683	40570	Edward	M1212C484124683	Medium	US	M217103506	Current	N	N
C203526568	46181	Sharon	M1212C203526568	Low 	US	M1642286060	Savings	N	N
C925800237	240	Ryan	M1212C925800237	High	US	M1178027755	Current	N	N
C1467853846	11252	Nicholas	M1212C1467853846	High	US	M418223232	Current	N	N
C2011281484	22136	Pamela	M1212C2011281484	Low	US	M316204726	Savings	N	N
C20780627	31403	Patricia	M1212C20780627	Medium	US	M892589968	Savings	N	N
C297225931	169218.19	Joseph	M1212C297225931	Low	US	C1255024717	Current	N	N
C2022715982	12571	Charles	M1212C2022715982	Medium	US	C1299829127	Current	N	N
C1040580772	0	Betty	M1212C1040580772	Low	US	M873546155	Savings	N	N
C226972126	32981	Donald	M1212C226972126	High	US	C798678484	Current	N	N
C439751089	0	Jeffrey	M1212C439751089	Low	US	C248609774	Current	N	N
C1093079840	154723	Amy	M1212C1093079840	Medium	US	M975733206	Savings	N	N
C1560339214	0	Jonathan	M1212C1560339214	Low	US	C1554540309	Current	N	N
C791302244	60574	Carolyn	M1212C791302244	Medium	US	M1135030031	Savings	N	N
C1270236380	0	Saurav	M1212C1270236380	Low 	US	C656977363	Current	N	N
C1167627805	0	Robert	M1212C1167627805	Low	US	C1850042097	Current	N	N
C1526838264	0	Thomas	M1212C1526838264	High	US	C2072865894	Current	N	N
C448432504	0	Margaret	M1212C448432504	Low 	US	C517653428	Savings	N	N
C739905410	7670	Kimberly	M1212C739905410	High	US	M1625676573	Savings	N	N
C1340734309	32589	Dorothy	M1212C1340734309	Low	US	C317071334	Savings	N	N
C2036507492	1135456.25	Edward	M1212C2036507492	Medium	US	C1191924243	Current	N	N
C629850598	20653	Sharon	M1212C629850598	Low 	US	M1226784688	Savings	N	N
C712215879	204163	Pamela	M1212C712215879	Low	US	M1765405066	Savings	N	N
C328246330	88720.12	Helen	M1212C328246330	Low	US	C1339257929	Savings	N	N
C588682100	281282	Samuel	M1212C588682100	Low	US	M1328224815	Current	N	N
C2097702021	6065	Julie	M1212C2097702021	Medium	US	M1947403350	Savings	N	N
C692782171	545	Mahesh	M1212C692782171	Medium	US	M42314793	Savings	N	N
C728366867	367410.45	Barbara	M1212C728366867	Low	US	C1496102000	Savings	N	N
C1496323398	3829148.29	Ashley	M1212C1496323398	Low	US	C746359178	Savings	N	N
C126251002	5624249.93	Kenneth	M1212C126251002	Medium	US	C957388291	Current	N	N
C634942227	5648502.91	Carol	M1212C634942227	High	US	C417277601	Savings	N	N
C1538984485	6381843.64	Timothy	M1212C1538984485	Low	US	C1211317010	Current	N	N
C945276373	7189490.46	Sharon	M1212C945276373	Low 	US	C43924520	Savings	N	N
C595076272	7219388.47	Jeffrey	M1212C595076272	Low	US	C1286084959	Current	N	N
C1386805129	7366239.26	Laura	M1212C1386805129	Medium	US	C1120735174	Savings	N	N
C1559469558	7857630.95	Amy	M1212C1559469558	Medium	US	C1213485528	Savings	N	N
C1185843580	7947164.04	Nicholas	M1212C1185843580	High	US	C667346055	Current	N	N
C1149529206	8033237.02	Angela	M1212C1149529206	Low	US	C1049228732	Savings	N	N
C582266124	9108920.55	Stephen	M1212C582266124	Low	US	C1281580764	Current	N	N
C143641035	0	Carolyn	M1212C143641035	Medium	US	C662736689	Savings	N	N
